Topic,Title,Summary,URL,Revision ID
Sports,Fathom Events,"Fathom Events is an entertainment content provider that broadcasts entertainment events in movie theaters throughout the United States, including Metropolitan Opera Live in HD, the performing arts, major sporting events, and music concerts.The company was spun out of National CineMedia in 2013 to focus on live performances that National CineMedia had started presenting; the parent company remained focused on producing advertising for movie theaters, which had been its original business. Fathom Events is owned by AC JV, LLC, a joint venture of AMC Theatres, Cinemark Theatres, and Regal Cinemas, the three largest cinema chains in the United States.John Rubey was the first CEO of Fathom Events, having previously served as president of AEG-TV and Network LIVE.In 2014, The Theatre Museum Awards honored Fathom Events with the Awards for Excellence in Theatre History Preservation.In 2015, Fathom Events was named ""Best Distributor in the Americas"" and received eight box office awards by the Event Cinema Association (ECA).Ray Nutt became CEO of Fathom Events in 2017, having previously served as senior vice president of business relations for Regal Entertainment Group, where he sat on the board of directors for Fathom. Prior to that, he grew business for Regal CineMedia and United Artists Theatres.",https://en.wikipedia.org/wiki/Fathom_Events,1146214746
Sports,Music at sporting events,"The use of music at sporting events is a practice that is thousands of years old, but has recently had a resurgence as a noted phenomenon. Some sports have specific traditions with respect to pieces of music played at particular intervals. Others have made the presentation of music very specific to the team—even to particular players. Music may be used to build the energy of the fans, and music may also be introduced in ways that are less directly connected with the action in a sporting event.",https://en.wikipedia.org/wiki/Music_at_sporting_events,1176502659
Sports,Madrid Arena,"Madrid Arena is an indoor arena located in the city of Madrid, in the fairgrounds in the Casa de Campo, just minutes from the city centre. Built from the old Rocódromo, the pavilion was designed by Spanish architects Estudio Cano Lasso who designed this versatile building in 2001 to host sporting events, commercial, cultural and leisure activities. The pavilion was sponsored by the company Telefónica for what was also known as Telefónica Arena.",https://en.wikipedia.org/wiki/Madrid_Arena,1152838339
Sports,Joana Lemos,"Joana Mascarenhas de Lemos (born 24 April 1972 ) is a former Portuguese rally raid racer. She raced on motorcycles between 1990 and 1995 and automobiles between 1996 and 2004. When she ended her racing career in 2006, she maintained her connection to sport, this time as an organizer of major sporting events, being largely responsible for the two editions of the Lisbon-Dakar Rally. Since 2012, she is Head of the Family Office of Maude Queiroz Pereira.",https://en.wikipedia.org/wiki/Joana_Lemos,1151179441
Sports,Sergio Dipp,"Sergio Alejandro Dipp Walthe (born July 23, 1988) is a Mexican sportscaster for ESPN Deportes and ESPN International. He co-hosts a Latin American edition of SportsCenter and NFL Live. He also covers the Mexico national football team for ESPN Deportes.Dipp has covered a variety of major sporting events. He served as a sideline reporter on ESPN for Monday Night Football in 2017, covered four Super Bowls (XLVIII, XLIX, 50, LI) and was a commentator for the 2012 Summer Olympics.",https://en.wikipedia.org/wiki/Sergio_Dipp,1175458333
Sports,Sport,"Sport pertains to any form of physical activity or game, often competitive and organized, that aims to use, maintain, or improve physical ability and skills while providing enjoyment to participants and, in some cases, entertainment to spectators. Sports can, through casual or organized participation, improve participants' physical health. Hundreds of sports exist, from those between single contestants, through to those with hundreds of simultaneous participants, either in teams or competing as individuals. In certain sports such as racing, many contestants may compete, simultaneously or consecutively, with one winner; in others, the contest (a match) is between two sides, each attempting to exceed the other. Some sports allow a ""tie"" or ""draw"", in which there is no single winner; others provide tie-breaking methods to ensure one winner and one loser. A number of contests may be arranged in a tournament producing a champion. Many sports leagues make an annual champion by arranging games in a regular sports season, followed in some cases by playoffs.
Sport is generally recognised as system of activities based in physical athleticism or physical dexterity, with major competitions such as the Olympic Games admitting only sports meeting this definition. Other organisations, such as the Council of Europe, preclude activities without a physical element from classification as sports. However, a number of competitive, but non-physical, activities claim recognition as mind sports. The International Olympic Committee (through ARISF) recognises both chess and bridge as bona fide sports, and SportAccord, the international sports federation association, recognises five non-physical sports: bridge, chess, draughts (checkers), Go and xiangqi, and limits the number of mind games which can be admitted as sports.Sport is usually governed by a set of rules or customs, which serve to ensure fair competition, and allow consistent adjudication of the winner. Winning can be determined by physical events such as scoring goals or crossing a line first. It can also be determined by judges who are scoring elements of the sporting performance, including objective or subjective measures such as technical performance or artistic impression.
Records of performance are often kept, and for popular sports, this information may be widely announced or reported in sport news. Sport is also a major source of entertainment for non-participants, with spectator sport drawing large crowds to sport venues, and reaching wider audiences through broadcasting. Sport betting is in some cases severely regulated, and in some cases is central to the sport.
According to A.T. Kearney, a consultancy, the global sporting industry is worth up to $620 billion as of 2013. The world's most accessible and practised sport is running, while association football is the most popular spectator sport.",https://en.wikipedia.org/wiki/Sport,1176517806
Sports,Sporting CP,"Sporting Clube de Portugal (Portuguese pronunciation: [ˈspɔɾtĩɡ ˈkluβɨ ðɨ puɾtuˈɣal]), otherwise referred to as Sporting CP or simply Sporting (particularly within Portugal), or as Sporting Lisbon in other countries, is a Portuguese sports club based in Lisbon. Noted for the wide array of sports departments and sporting disciplines it houses, as well as for the number of trophies won by them, it is best known for its men's professional football team playing in the Primeira Liga, the top flight of Portuguese football. Its youth academy has helped produce footballers such as Luís Figo and Cristiano Ronaldo.Founded on 1 July 1906, Sporting is one of the ""Big Three"" clubs in Portugal that have never been relegated from Primeira Liga, along with rivals Benfica and Porto. Sporting are nicknamed Leões (Lions), for the symbol used in the middle of the club's crest, and Verde e Brancos (Green and Whites), for the shirt colour that are in (horizontal) stripes. The club's anthem is called ""A Marcha do Sporting"" (""Sporting's March"", written in 1955) and its supporters are called sportinguistas. Sporting is the second largest sports club by membership in Portugal, with more than 160,000 paying members, and the sixth in the world. It is also among the top three Portuguese sports clubs in number of non-affiliated fans. Their home ground has been the Estádio José Alvalade, built in 2003, which replaced the previous one, built-in 1956. The club's indoor arena is the Pavilhão João Rocha multi-sports pavilion.Sporting are the third most decorated Portuguese football team, with 54 major trophies. Domestically, they have won 19 League titles, 17 Taças de Portugal, a joint-record of 4 Campeonato de Portugal, 4 Taças da Liga and 9 Supertaças Cândido de Oliveira. In Europe, they won the 1963–64 European Cup Winners' Cup and were runners-up at the UEFA Cup in 2005. Sporting played in the first European Champions Cup match on 4 September 1955, by invitation, and has participated in the most editions of UEFA Cup/UEFA Europa League (32), a tournament in which they have the second most matches played and won, and where they are ranked 2nd in the all-time club ranking.",https://en.wikipedia.org/wiki/Sporting_CP,1177106965
Sports,Sardar Vallabhbhai Patel Sports Enclave,"Sardar Vallabhbhai Patel Sports Enclave is an under-construction sports enclave being built in Ahmedabad, Gujarat, India. Once the sports enclave is fully built, it will be one of the largest of its kind in India. The project is being jointly executed with the Ahmedabad Urban Development Authority, and the Government of Gujarat. A primary reason for the sports enclave to be built, is so that the Summer Olympic Games, and other major sporting events could be hosted in India in the future.",https://en.wikipedia.org/wiki/Sardar_Vallabhbhai_Patel_Sports_Enclave,1161264473
Sports,List of sporting events in New Clark City,"New Clark City is a planned community currently undergoing development, located within the Clark Special Economic Zone in the towns of Bamban and Capas in Tarlac province, Philippines. It is owned and managed by the Bases Conversion and Development Authority (BCDA).The New Clark City Sports Hub located within the National Government Administrative Center contains an athletes' village, an aquatics center and a 20,000-seater athletics stadium. New Clark City was one of the host cities of the 2019 Southeast Asian Games, which took place all over Luzon.  A list of major sporting events are given in the tables below in chronological order.",https://en.wikipedia.org/wiki/List_of_sporting_events_in_New_Clark_City,1175645576
Sports,Marlins Man,"Laurence Leavy (born October 13, 1956), better known as Marlins Man, is an American sports fan and lawyer from North Miami Beach, Florida. He gained fame in 2012 for his frequent appearances at major sporting events while wearing orange Miami Marlins apparel. His seating placement in view of broadcast cameras has drawn attention at the World Series, Super Bowl, NBA Finals, Kentucky Derby, College World Series, and other events. Leavy has been described by USA Today as a ""ubiquitous superfan"".",https://en.wikipedia.org/wiki/Marlins_Man,1172578039
